Earthquake,Earthquake_Lat,Earthquake_Lon,Volcano,Volcano_Lat,Volcano_Lon,Distance_km
Землетрясение в восточной части Новой Гвинеи; Папуа-Новая Гвинея (2010),-5.486,146.822,Yomba,-4.883,146.717,67.69
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.705,-115.911,Cerro Prieto,32.418,-115.308,64.96
Землетрясение на Андреяновских островах (2010),51.423,-178.649,Гарелой,51.786666666,-178.803055555,41.85
Землетрясение на Андреяновских островах (2010),51.451,-175.87,Koniuji,52.22,-175.13,99.61
Землетрясение на Южно-Тихоокеанском поднятии (2010),-56.586,-142.292,Udintsev Transform,-56.153,-143.373,82.38
Землетрясение на северной Суматре; Индонезия (2010),4.64,96.832,Q12763633,4.768889,96.8211,14.3
Землетрясение на западном побережье Хонсю; Япония (2010),37.547,138.961,Mount Asakuksa,37.34365,139.23351,33.03
Землетрясение к югу от Альберто Овьедо Мота; Мексика (2010),32.048,-115.198,Cerro Prieto,32.418,-115.308,42.32
Землетрясение на Лисьих островах (2010),52.876,-169.848,Tana,52.83,-169.77,7.34
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-5.902,150.712,Witori,-5.576,150.516,42.08
Землетрясение на Южных Сандвичевых островах (2010),-56.412,-25.741,Mount Hodson,-56.7,-27.15,92.39
Землетрясение в Вануату (2010),-20.671,169.818,Анейтьюм (вулкан),-20.184166666,169.790555555,53.97
Землетрясение в Коста-Рике (2010),10.211,-84.293,El Viejo Volcano,10.26,-84.328888888,6.7
Землетрясение в Коста-Рике (2010),9.331,-84.206,Ирасу,9.979166666,-83.8525,81.52
2007 Martinique earthquake,14.943,-61.244,Morne Plat Pays,15.2495,-61.3465,35.66
2000 Iceland earthquakes,63.9777,-20.7099,Grímsnes,64.036666666,-20.889444444,10.97
1998 Acatlan,18.39,-97.44,Las Cumbres,19.15,-97.27,86.01
Шикотанское землетрясение,43.85,147.17,Берутарубе,44.46131,146.93163,70.55
2007 Andreanof Islands earthquake,51.34,-179.47,Гарелой,51.786666666,-178.803055555,67.89
Землетрясение в Колиме (1995),19.06,-104.21,Cerro Grande,19.515,-103.953888888,57.11
2000 New Ireland earthquakes,-3.98,152.169,Tavui,-4.12,152.2,15.86
2007 Guatemala earthquake,13.533333333,-90.6,Текуамбурро,14.156111111,-90.406944444,71.99
Землетрясение в Мексике (1995),16.84,-93.469,Эль-Чичон,17.36,-93.227777777,63.02
Землетрясение в Денали,63.514,-147.453,Баззард-Крик,64.062,-148.433,77.88
Землетрясение в Мексике (2012),18.229,-102.689,Cerro Mancira,18.5331,-103.5226,94.3
AD 17 Lydia earthquake,38.49,28.04,Q6044027,38.620277777,28.430833333,37.01
Землетрясение на Минданао (2002),6.033,124.249,Mount Parker,6.11416667,124.88972222,71.49
2007–2008 Nazko earthquakes,52.88,-124.08,Itcha Mountain,52.7175,-124.83,53.72
2002 Kalehe earthquake,-1.905,29.013,Ньирагонго,-1.516666666,29.25,50.39
1999 Hector Mine earthquake,34.6,-116.27,Pipkin,34.68666667,-116.62,33.5
2011 Zumpango earthquake,18.038,-99.796,Volcán La Tinaja,18.8516,-100.1002,95.62
2011 South Sandwich Islands earthquake,-55.98,-28.238,Заводовский,-56.3,-27.566666666,54.87
1993 Scotts Mills earthquake,45.03,-122.59,Гора Табор,45.510833,-122.595556,53.44
2007 Aisén Fjord earthquake,-45.266,-72.496,Cay,-45.0625,-72.98583333,44.66
Землетрясение в Оахака; Мексика (2010),16.527,-97.76,Cerro Volado,17.403611111,-97.607222222,98.37
2005 Tarapacá earthquake,-19.592,-69.12,Ислуга,-19.15,-68.833333333,57.45
Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010),-6.019,150.497,Witori,-5.576,150.516,49.03
2000 Iceland earthquakes,63.97,-20.37,Geysir geothermal field,64.3167,-20.2999,38.8
Землетрясения в Эритрее (2011),13.42,41.694,Mallahle,13.277,41.655,16.38
Землетрясение на востоке Хонсю; Япония (2010),39.058,140.715,Mount Kurikoma,38.961111111,140.788888888,12.52
1605 Guangdong earthquake,19.9,110.5,volcanoes of the Leizhou Peninsula,20.5,110.16666667,75.01
2019 Yamagata earthquake,38.635,139.454,Hijiori,38.605833,140.178333,63.16
Q93990179,15.0306,-24.4873,Брава,14.85,-24.716666666,31.75
Землетрясение на острове Бугенвиль; Папуа-Новая Гвинея (2010),-6.534,155.647,Баканови,-6.15,155.35,53.7
Q97210718,35.7,139.7,Хаконе,35.23,139.023888888,80.53
2019 Davao del Sur earthquake,6.708,125.188,Parker Volcano,6.1144,124.8897,73.47
Землетрясение в центральном Перу (2010),-14.861,-71.715,Volcán Marhuas,-15.480555555,-72.016944444,75.85
Q94603197,-44.5,-73.0,Mentolat,-44.696666666,-73.075833333,22.67
1950 Calama earthquake,-23.977,-67.912,Cerro Toloncha,-23.938333333,-67.975,7.71
Q86678554,44.612,4.638,Mount Mézenc,44.91111111,4.195,48.32
2019 Visayas earthquake,11.79,125.38,Билиран,11.523,124.535,96.76
Землетрясение на Анатахане; Марианские острова (2010),16.492,145.725,South Sarigan Seamount,16.58,145.78,11.37
2019 Yilan earthquake,24.43,121.91,Zhuzi Mountain,25.210555555,121.559166666,93.45
2019 Cotabato earthquakes,6.75,125.0,Parker Volcano,6.1144,124.8897,71.34
2001 Tarapacá earthquake,-19.59,-69.306666666,Ислуга,-19.15,-68.833333333,69.61
Землетрясение на Сицилии; Италия (2010),38.415,14.916,Вулькано,38.404,14.962,4.2
1737 Valdivia earthquake,-39.813889,-73.245833,Cerros de Punguichay,-39.4784,-72.2154,95.97
2019 Ridgecrest earthquakes,35.766,-117.605,Golden Trout Creek,36.358,-118.32,92.0
991 Damascus earthquake,33.2,36.2,Q21583441,33.2,36.016666666,17.09
Q78758910,24.54,121.77,Zhuzi Mountain,25.210555555,121.559166666,77.27
Землетрясение на Филиппинах (1954),12.835,124.079,Масарага,13.310277777,123.6,73.91
Землетрясение в Мексике (1973),18.481,-102.996,Cerro Mancira,18.5331,-103.5226,55.91
Землетрясение на Филиппинах (1918),5.967,124.377,Mount Parker,6.11416667,124.88972222,59.05
Землетрясение в Мексике (1920),19.25,-97.13333333,La Gloria,19.33,-97.25,15.13
1979 Imperial Valley earthquake,32.6167,-115.317,Cerro Prieto,32.418,-115.308,22.05
Землетрясение в Гватемале (1942),13.862,-91.138,Фуэго,14.474722222,-90.880833333,73.26
Землетрясение в Чили (1929),-22.751,-68.403,Q22428774,-22.431944444,-68.011944444,53.53
Землетрясение в Венесуэле (1950),9.71,-69.819,Volcán de Sanaré,9.76,-69.587222222,26.03
Землетрясение в Турции (1928),38.202,27.494,Q6044027,38.620277777,28.430833333,94.08
Землетрясение в Японии (1922),32.629,129.69,Ундзэн,32.761342,130.298694,58.94
Землетрясение в Коста-Рике (1955),10.101,-84.517,Volcán Porvenir,10.271723502,-84.360966725,25.47
Землетрясение в Никарагуа (1926),12.598,-86.875,Q21054853,12.6,-86.816666666,6.34
Землетрясение в Перу (1948),-17.227,-70.252,Volcán Yucamane,-17.1825,-70.198888888,7.49
Землетрясение в Аргентине (1930),-24.69972222,-66.5,Volcán Juncal,-24.7675,-66.805,31.76
Землетрясение в Мексике (1968),15.573,-92.536,Такана,15.1334,-92.1058,67.08
Землетрясение на Соломоновых Островах (1939),-9.873,159.812,Попоманасеу,-9.703611111,160.061944444,33.21
Землетрясение в Чили (1971),-25.375,-68.938,Серро-Байо,-25.416666666,-68.583333333,35.99
Землетрясение в Мексике (1959),17.445,-97.154,Cerro Volado,17.403611111,-97.607222222,48.37
Землетрясение на Филиппинах (1973),13.372,122.787,Mount Isarog,13.659166666,123.373333333,70.98
Землетрясение на Аморгосе,36.6664,25.957,Q25164419,36.404444444,25.396111111,58.03
Землетрясение в Эквадоре (1987),0.048,-77.653,Сумако,-0.53805556,-77.62583333,64.87
Землетрясение в Йемене (1991),13.887,44.068,Harras of Dhamar,14.55,44.40166667,81.72
Землетрясение в Турции (1969),38.515,28.546,Q6044027,38.620277777,28.430833333,15.41
Землетрясение в Перу (1958),-16.625,-72.242,Cerro Nicholson,-16.260556,-71.73,67.94
Землетрясение в Чили (1959),-20.407,-68.862,Иррупутунку,-20.733333333,-68.566666666,47.47
Землетрясение на Камчатке (1923),56.355,162.696,Unnamed volcano,55.92,161.75,76.19
Землетрясение в Мьянме (1956),22.178,95.781,Singu Plateau,22.68333333,95.96666667,59.13
Землетрясение в Мексике (1932),19.373,-104.224,Cerro Grande,19.515,-103.953888888,32.43
Землетрясение в Мексике (1968),16.519,-97.739,Cerro Volado,17.403611111,-97.607222222,98.9
Землетрясение в Индонезии (1967),5.121,96.286,Q12763633,4.768889,96.8211,70.98
Землетрясение на Курильских островах (1918),46.737,150.653,Остров Броутона,46.716666666,150.733333333,6.54
Землетрясение на Гаваях (1975),19.333,-155.002,Mauna Ulu,19.3668,-155.201,21.24
Землетрясение в Эфиопии (1969),11.875,41.208,Боравли (вулканический купол),11.633333333,41.45,37.56
Землетрясение в Мексике (1932),19.419,-103.907,Cerro Grande,19.515,-103.953888888,11.71
Землетрясение в Коста-Рике (1973),10.679,-84.759,Тенорио,10.672777777,-85.015,28.02
Землетрясение в Гватемале (1976),14.943,-90.562,Q25177770,14.466666666,-90.583333333,52.75
Землетрясение в Перу (1991),-15.679,-71.574,Volcán Marhuas,-15.480555555,-72.016944444,52.34
Землетрясение на Соломоновых островах (1977),-9.965,160.731,Попоманасеу,-9.703611111,160.061944444,78.88
Землетрясение в Индонезии (2004),-8.31,115.788,Гунунг-Батур,-8.241944444,115.375,46.12
Землетрясение в Румынии (1990),45.841,26.668,Чумэтул-Маре,46.13,25.88,68.99
Землетрясение в Португалии (1998),38.65,-28.626,Capelinhos,38.601322222,-28.831569444,18.7
Землетрясение в Папуа-Новой Гвинее (1985),-5.599,151.045,Hargy,-5.33,151.1,30.37
Землетрясение в Индонезии (1979),-7.656,108.252,Karaha Crater,-7.12,108.08,62.24
Землетрясение в Эйоне (1995),38.401,22.283,Сусаки,37.9367981,23.08720016,87.3
Землетрясение в Индонезии (1979),-8.207,115.949,Гунунг-Батур,-8.241944444,115.375,63.36
Землетрясение в Колумбии (1983),2.461,-76.686,Пурасе,2.314166666,-76.394166666,36.29
Землетрясение в Папуа-Новой Гвинее (1983),-5.54,151.86,Hargy,-5.33,151.1,87.37
Землетрясение в Турции (2004),39.766,43.979,Большой Арарат,39.702761111,44.300380555,28.43
Землетрясение в Вануату (1999),-16.423,168.214,Лопеви (вулкан),-16.506944444,168.346111111,16.89
Землетрясение в Папуа-Новой Гвинее (1996),-6.518,154.999,Баканови,-6.15,155.35,56.25
Землетрясение в Мексике (1993),14.717,-92.645,Такана,15.1334,-92.1058,74.08
Землетрясение в Эквадоре (1996),-1.036,-78.737,Килотоа,-0.861194444,-78.897286111,26.3
Землетрясение в Чили (1976),-20.52,-68.919,Иррупутунку,-20.733333333,-68.566666666,43.66
Землетрясение на Алкионидес (1981),38.222,22.934,Сусаки,37.9367981,23.08720016,34.39
Землетрясение в Перу (1979),-16.39,-72.658,Huambo,-15.8333,-72.13333,83.34
Землетрясение в Мексике (1997),18.219,-102.756,Cerro Mancira,18.5331,-103.5226,88.16
Землетрясение в Колумбии (1979),4.805,-76.217,Santa Isabel,4.81666667,-75.36666667,94.34
Землетрясение в Перу (1986),-13.41,-71.785,Q107539090,-13.2097206,-72.1336019,43.79
Землетрясение в Индонезии (1979),-8.49,115.75,Гунунг-Батур,-8.241944444,115.375,49.58
Землетрясение в Индонезии (1979),-8.39,115.889,Гунунг-Батур,-8.241944444,115.375,58.94
1834 Java earthquake,-6.47,106.958,Perbakti-Gagak,-6.75,106.7,42.1
2021 April East Java earthquake,-8.562,112.519,Malang Plain,-8.02,112.68,62.51
1839 Ava earthquake,21.9,96.0,Singu Plateau,22.68333333,95.96666667,86.81
1737 Kamchatka earthquake,52.5,159.5,Авачинская Сопка,53.255,158.832777777,95.27
2021 Bali earthquake,-8.348,115.461,Гунунг-Батур,-8.241944444,115.375,15.08
1852 Banda Sea earthquake,-5.25,129.75,Банда Апи,-4.525,129.871388888,81.29
1699 Java earthquake,-6.078,105.913,Pulosari,-6.342,105.975,29.99
2019 Athens earthquake,38.108611111,23.530277777,Сусаки,37.9367981,23.08720016,43.33
1981 Westmorland earthquake,33.02,-115.68,Cerro Prieto,32.418,-115.308,75.32
2021 South Sandwich Islands earthquakes,-58.416,-25.321,Mount Belinda,-58.43333333,-26.33333333,59.18
2021 May East Java earthquake,-8.63,112.34,Келуд,-7.933333333,112.305555555,77.14
2021 Hawaii earthquake,18.82,-155.527,Mauna Ulu,19.3668,-155.201,69.57
1815 Bali earthquake,-8.0,115.0,Братан,-8.283333333,115.133333333,34.61
1871 Lāna earthquake,20.7,-156.0,East Molokai Volcano,21.11,-156.84,98.48
1912 Maymyo earthquake,22.35,96.737,Singu Plateau,22.68333333,95.96666667,87.43
Землетрясение в Масбате 2020,11.96,124.03,Билиран,11.523,124.535,73.26
Землетрясение на Камчатке (апрель 1923),57.35,162.91,Сопка Шагаевская,57.5449,162.5851,29.18
Q6143064,1.929,-76.362,Сотара,2.108055555,-76.591944444,32.35
Землетрясение в Гватемале (1991),14.646,-90.986,Фуэго,14.474722222,-90.880833333,22.08
1910 Costa Rica earthquake,9.801,-83.87,Ирасу,9.979166666,-83.8525,19.8
Землетрясение в Эфиопии (2010),7.575,37.792,Hobicha,6.78,37.83,88.02
Землетрясение в Гватемале (2011),14.27833333,-90.3,Q25182350,14.1661,-90.2803,12.6
Землетрясение в Сальвадоре (1932),13.175,-88.07,Арамуака,13.428055555,-88.105,28.25
Землетрясение в Италии (1914),37.667,15.133,Gran Cratere,38.40417,14.9657,83.13
Землетрясение в Сальвадоре (1917),13.75,-89.267,Илопанго,13.66666667,-89.05,25.22
Землетрясение в Чили (1958),-33.832,-69.958,Сан-Хосе,-33.781666666,-69.897222222,7.93
Землетрясение в префектуре Фукусима,37.007,140.477,Бандай,37.600833333,140.072222222,75.04
2004 Doğubayazıt earthquake,39.71,44.02,Большой Арарат,39.702761111,44.300380555,24.06
Землетрясение в Эквадоре (2010),-1.266,-77.306,Volcán Reventador,-0.675555555,-77.67,76.84
Землетрясение в Индонезии (1987),-8.247,124.155,Mount Sirung,-8.516666666,124.133333333,29.92
1692 Salta earthquake,-25.4,-64.8,Morro de los Volcanes,-25.3833,-65.0408,24.3
Землетрясение в Сальвадоре (1951),13.52,-88.4,El Tigre,13.47,-88.43,6.41
Землетрясение в Перу (1604),-18.5,-70.332,Таапака,-18.1,-69.5,98.48
Землетрясение в Испании (2007),39.35,-3.01666667,Volcán de La Mesnera,38.849063888,-3.521080555,70.69
Землетрясение в Аргентине (1907),-27.33333333,-65.83333333,Farallon Negro,-27.25,-66.55,71.55
1908 Salta earthquake,-25.33333333,-65.16666667,Morro de los Volcanes,-25.3833,-65.0408,13.83
Землетрясение в Папуа-Новой Гвинее (1919),-4.852,153.714,Амбайтл,-4.080833333,153.621388888,85.89
Землетрясение в Коста-Рике (2004),9.602,-84.172,Ирасу,9.979166666,-83.8525,54.49
Q6143261,29.31666667,-113.2333333,Коронадо,29.08886,-113.51524,37.27
Землетрясение в Сальвадоре (1965),13.683,-89.07,Илопанго,13.66666667,-89.05,2.82
Землетрясение на Суматре (2022),-0.233,100.106,Талакмау,0.079166666,99.983333333,37.12
Q112507456,1.11,127.18,Makian,0.333333333,127.366666666,88.36
1840 Ahora earthquake,39.6,44.1,Большой Арарат,39.702761111,44.300380555,20.64
2002 Port Vila earthquake,-17.6,167.856,North Vate,-17.47,168.353,54.7
Earthquake 2005-10-25 19:40:43,-7.1,145.8,Yelia,-7.05,145.858,8.46
Earthquake 2007-06-14 17:41:01,-5.6,151.6,Hargy,-5.33,151.1,62.94
2022 Guatemala earthquake,14.193,-91.293,Толиман,14.6125,-91.189166666,47.75
Q110184545,45.87,2.94,puy de Tressous,45.86299,2.951,1.16
1999 Sunda Strait earthquake,-6.845,105.555,Pulosari,-6.342,105.975,72.47
1927 Sekihara earthquake,37.5,138.848333333,Mount Asakuksa,37.34365,139.23351,38.26
Землетрясение в Румынии (1838),45.7167,26.7167,Чумэтул-Маре,46.13,25.88,79.51
1956 Nicaragua earthquake,11.72,-86.48,Q21054856,11.984722222,-86.1675,44.91
2013 Aceh earthquake,4.698,96.687,Q12763633,4.768889,96.8211,16.82
2000 Tottori earthquake,35.27,133.31,Mount Korei,35.437777777,133.479166666,24.14
1993 Kushiro-Oki earthquake,42.92,144.373333,Mount Akanfuji,43.374166666,144.006388888,58.62
Землетрясение в Японии (1983),35.498,139.069,Хаконе,35.23,139.023888888,30.02
1926 Horta earthquake,38.534583,-28.629568,Capelinhos,38.601322222,-28.831569444,19.1
1914 Akita-Senboku earthquake,39.5,140.4,Акита-Комагатаке,39.760833333,140.803611111,45.16
Землетрясение в Германии (2002),50.889,6.103,Kalem,50.18587,6.61782,86.31
1925 Kita-Tajima earthquake,35.56333333,134.83333333,Takurayama,35.345833333,134.918055555,25.33
Ближневосточные землетрясение 1759 года,33.1,35.6,Mount Shifon,33.0695361,35.7696806,16.2
Землетрясение в Японии (1969),35.794,137.063,Онтаке,35.892777777,137.480277777,39.26
1828 Sanjō earthquake,37.6,138.9,Mount Asakuksa,37.34365,139.23351,40.99
1927 North Tango earthquake,35.596666666,134.896388888,Takurayama,35.345833333,134.918055555,27.9
1909 Anegawa earthquake,35.4,136.3,Mount Hōonji,36.063333,136.5975,78.37
1896 Rikuu  earthquake,39.5,140.7,Акита-Комагатаке,39.760833333,140.803611111,30.3
1522 Vila Franca earthquake,37.716068,-25.432244,Агуа-де-Пау,37.760333333,-25.491558333,7.17
1937 Orizaba earthquake,18.8226,-97.1627,Las Cumbres,19.15,-97.27,37.96
1717 Guatemala earthquake,14.57,-90.73,Агуа,14.465,-90.742777777,11.7
Землетрясение в Японии (1973),43.233,145.785,Вулкан Головнина,43.843055555,145.505555555,71.44
2013 Philippines earthquake,9.86,124.07,Camiguin Volcano,9.215277777,124.646666666,95.36
Odawara earthquakes,35.183,138.994,Хаконе,35.23,139.023888888,5.88
1894 Shōnai earthquake,38.9,139.9,Mount Chōkai,39.099166666,140.048888888,25.6
2008 Iwate earthquake,39.802,141.464,Ивате,39.8525,141.00111111,40.02
1871 Orán earthquake,-25.6,-64.1759,Morro de los Volcanes,-25.3833,-65.0408,90.21
Землетрясение на Ближнем Востоке (1068),28.5,36.7,Rahah; Harrat ar,27.8,36.17,93.42
2011 Shizuoka earthquake,35.3,138.7,Хаконе,35.23,139.023888888,30.48
1941 Colima earthquake,18.85,-102.94,Cerro Mancira,18.5331,-103.5226,70.76
Землетрясение в Японии (1968),32.066,130.712,Mount Kurino,31.954639,130.791694,14.46
Землетрясение в Японии (1596),34.65,135.6,Takurayama,35.345833333,134.918055555,99.17
2014 Yutian earthquake,36.1,82.5,Q1436026,35.70111111,81.64972222,88.61
1984 Otaki earthquake,35.79,137.49,Онтаке,35.892777777,137.480277777,11.44
1847 Zenkōji earthquake,36.7,138.2,Mount Iizuna,36.733333333,138.133333333,7.01
2020 Banda Sea earthquake,-6.88,123.55,Emperor of China,-6.61666667,124.21666667,79.25
2022 Western México earthquake,18.367,-103.252,Cerro Mancira,18.5331,-103.5226,33.99
2022 West Java earthquake,-6.853,107.095,Perbakti-Gagak,-6.75,106.7,45.13
2014 Aleutian Islands earthquake,51.797,-178.76,Гарелой,51.786666666,-178.803055555,3.19
Землетрясение в Италии (1805),41.5,14.467,Camaldoli,40.8575,14.1914,75.01
1986 North Palm Springs earthquake,34.02,-116.76,Pipkin,34.68666667,-116.62,75.07
Землетрясение в Сальвадоре (2014),12.576,-88.046,Арамуака,13.428055555,-88.105,94.48
Землетрясение в Италии (1626),40.4,14.1,Mount  Spina,40.829323,14.163581,47.98
2014 Iyonada earthquake,33.69166667,131.89,Mount Takasaki,33.251944,131.524167,59.46
Землетрясение в Румынии (1738),45.7,26.6,Чумэтул-Маре,46.13,25.88,73.51
Землетрясение в Испании (2015),39.0573,-2.6652,Volcán de La Mesnera,38.849063888,-3.521080555,77.71
2014 Peru earthquake,-13.84,-71.7,Volcán Quinsachata,-14.1626,-71.3566,51.48
Великое Восточно-Сибирское землетрясение,56.5,118.5,Вулкан Чепе,56.23,118.77,34.38
Землетрясение в Индонезии (1976),-8.227,114.775,Братан,-8.283333333,115.133333333,39.97
1926 Indonesia earthquake,-0.629,100.155,Талакмау,0.079166666,99.983333333,80.6
1993 Klamath Falls earthquakes,42.2131,-122.066,Medicine Lake Volcano,41.582525,-121.599530555,80.02
Землетрясение в Никарагуа (2014),12.1366,-86.18473333,Q21054839,12.233055555,-86.295277777,16.08
Землетрясение на Филиппинах (1628),13.2,123.7,Масарага,13.310277777,123.6,16.32
Землетрясение в Гваделупе (2014),16.28,-61.64,Bouillante Chain,16.12,-61.75,21.26
August 2014 earthquake in Quito,-0.076,-78.302,Моханда,0.13,-78.27,23.06
2014 Mexico–Guatemala earthquake,14.72,-92.46,Такана,15.1334,-92.1058,59.54
August 2014 earthquake in Quito,0.02,-78.32,Моханда,0.13,-78.27,13.38
Землетрясение в Индонезии (1629),-4.6,129.9,Банда Апи,-4.525,129.871388888,8.88
2014 Mexico–Guatemala earthquake,14.742,-92.409,Такана,15.1334,-92.1058,54.22
