volcanoLabel;location
Mount Ondake;Point(128.84888056 32.656625)
Iamalele;Point(150.53 -9.52)
Q21054839;Point(-86.295277777 12.233055555)
Q25182270;Point(-90.6 14.383333333)
Q21591913;Point(37.1573 33.3689)
Q21583870;Point(37.1967 33.035)
Q21584543;Point(37.2917 33.5203)
Q21054845;Point(-86.6675 12.489444444)
Q25180068;Point(-90.583333333 14.383333333)
Q21591914;Point(37.150277777 33.385833333)
Q25177627;Point(-90.6 14.45)
Golden Trout Creek;Point(-118.32 36.358)
Q25177439;Point(-90.583333333 14.45)
Q21596965;Point(37.3425 33.183888888)
Q25181918;Point(-90.0364 14.4753)
Q25161950;Point(25.3889 36.36)
Q25164419;Point(25.396111111 36.404444444)
Q21594939;Point(36.725833333 33.5075)
Q21594935;Point(36.7425 33.5075)
Q25182251;Point(-90.6 14.4)
Aliso;Point(-78.0 -0.53)
Q21584453;Point(36.983611111 33.2425)
Q25277046;Point(-88.383333333 14.833333333)
Q21586973;Point(37.074722222 33.250555555)
Q21594940;Point(36.721388888 33.5025)
Q25179632;Point(-89.8842 14.3167)
Q21583441;Point(36.016666666 33.2)
Q21591902;Point(36.9965 33.6189)
Q25177859;Point(-89.75 14.55)
Q25177591;Point(-89.726666666 14.211944444)
Q21586153;Point(37.199722222 33.05)
Q21585183;Point(40.0084 35.6939)
Q21591868;Point(37.2953 33.1231)
Cerro La Mariposa;Point(-90.616666666 14.466666666)
Coleman Seamount;Point(157.16 -8.841)
Q21594936;Point(36.731111111 33.525277777)
Puy de la Coquille;Point(2.96222 45.84194)
San Diego;Point(-74.961 5.65)
Q21594934;Point(36.733888888 33.506111111)
Q21054848;Point(-86.688333333 12.496111111)
Q21586903;Point(37.2272 33.5317)
Chirippusan;Point(147.92 45.338)
Dos Crateres;Point(-68.6 -25.6)
Q20010113;Point(130.215833333 30.438888888)
Q21591866;Point(37.27222 33.02778)
Q21591865;Point(37.286111111 33.197222222)
Анатахан (вулкан);Point(145.657777777 16.355277777)
Q21589492;Point(37.167777777 33.075)
Q21583709;Point(37.0557 33.31)
Q25180030;Point(-90.0 14.3)
Q21054850;Point(-86.538611111 12.424722222)
Q21587081;Point(37.0008 33.3358)
Puy Giroux;Point(3.076388888 45.704722222)
Анатахан (вулкан);Point(145.66666667 16.35)
Volcán Congo;Point(-84.233333333 10.25)
Cerro de Asososca;Point(-86.675833333 12.453333333)
Q21589724;Point(37.14788 33.11738)
Hargy;Point(151.1 -5.33)
Q21586480;Point(37.0925 33.1858)
Q21591028;Point(37.175555555 33.100833333)
Puy de Chaumont;Point(2.96972 45.82444)
Q21054993;Point(-86.81488037 12.58133984)
Q21596961;Point(37.417777777 33.178055555)
Q25177350;Point(-91.7 14.816666666)
Q21593949;Point(36.732222222 33.550277777)
Q25280963;Point(-88.7892 14.2567)
Q21054853;Point(-86.816666666 12.6)
Q26271087;Point(3.368055555 43.304444444)
Q25177770;Point(-90.583333333 14.466666666)
Q25276004;Point(-86.7058 15.1658)
Q21593951;Point(36.737777777 33.540555555)
Большой Арарат;Point(44.300380555 39.702761111)
Q21586598;Point(39.9737 35.7027)
Dutton;Point(-162.276 55.183)
Bouillante Chain;Point(-61.75 16.12)
Q20024722;Point(-86.96417 12.69348)
Cerro Morazurco;Point(-77.2407 1.2706)
Argo Point;Point(-60.92 -66.25)
Q27800866;Point(-113.390277777 31.846666666)
Q27846612;Point(-97.43 19.223611111)
Puy Pelat;Point(2.94884 45.72508)
Акнасар;Point(44.934166666 40.291083333)
Takurayama;Point(134.918055555 35.345833333)
Puy de Monchier;Point(2.94871 45.74724)
Cerro Copitiro;Point(-102.052222222 19.486111111)
Volcan Prieto;Point(-114.655555555 30.224722222)
Gran Cratere;Point(14.9657 38.40417)
Volcán Pihuel;Point(-69.405 -36.1042)
Volcan Ceniza;Point(-115.973611111 30.445555555)
Volcán Xaltepec;Point(-99.0306 19.3198)
Mount Carling;Point(124.669166666 9.216111111)
Q21791896;Point(-67.9425 -22.3283)
Puy de Laschamps;Point(2.95182 45.73417)
Q21596969;Point(37.140277777 33.390833333)
Cerro El Llahuacuaro;Point(-102.24 19.426111111)
Q21804634;Point(-67.965 -22.0542)
Cerro Volcán;Point(-68.4348 -27.7945)
Las Derrumbadas;Point(-97.4575 19.288055555)
Cerro La Tinaja;Point(-101.520555555 19.169166666)
Volcán San Juan;Point(-104.97382 21.47287)
Butay;Point(124.766388888 9.116388888)
Volcán El Tepalcate;Point(-104.290833333 24.050277777)
Monte Barbaro;Point(14.116666666 40.85)
Алучин;Point(165.4 66.1)
Nevado Tres Cruces Central;Point(-68.786472222 -27.068638888)
Cerro Volcán;Point(-70.7905 -46.6619)
Аогасима;Point(139.759 32.458)
Segundo Cono Truncado;Point(-69.3433 -48.5658)
Old South Volcano Caldera Rim NorthEast;Point(145.742777777 18.079722222)
Volcán Sapicho;Point(-102.248333333 19.495833333)
Puy de Barme;Point(2.93116 45.73806)
Q30144976;Point(14.107504 40.849575)
Morro de los Volcanes;Point(-65.0408 -25.3833)
Khulugayshi;Point(102.5 52.0)
Q21596979;Point(37.2559 33.4477)
Q27800868;Point(-113.448333333 31.983611111)
Volcán Rojo;Point(-68.3237 -27.1498)
Jibāl al Abyaḑ;Point(39.970555555 25.661388888)
Puy de Beaune;Point(2.94895 45.7298)
Q27817805;Point(-112.572777777 27.514166666)
Q21596971;Point(37.388333333 33.259444444)
Farallon Negro;Point(-66.55 -27.25)
Stromboli;Point(15.21 38.79)
Q27778587;Point(-99.4622 19.0353)
Wonchi;Point(38.01111111 8.84277778)
Montaña Timbaiba;Point(-13.643 29.06017)
Chato Aislado;Point(-68.81 -25.98)
Cerro La Alberca;Point(-102.296944444 19.364444444)
Q21805655;Point(-67.7583 -22.0389)
Minokol;Point(124.65 9.216666666)
Volcan Cerro Blanco;Point(-109.525833333 29.603055555)
Cerro La Perita;Point(-102.20503 19.45579)
Cerro Pizarro;Point(-97.437777777 19.508888888)
Cerro La Pastoria;Point(-113.671666666 31.993333333)
Montaña Tinache;Point(-13.67358 29.05142)
Q21596966;Point(37.2209 33.0699)
Kalem;Point(6.61782 50.18587)
Q21597044;Point(37.2 33.5)
Q27800864;Point(-113.770833333 31.987777777)
Mount Io;Point(130.85333 31.94667)
Puy de Montchar;Point(2.94429 45.73336)
Cerro El Cohetero;Point(-102.3327 19.27184)
Campana;Point(124.708333333 9.208333333)
Cerro Colorado;Point(-113.3007 31.9126)
Cerro El Chupadero;Point(-102.29017 19.31014)
Kerimasi volcano;Point(34.980555555 -2.431666666)
Cerro El Costillón;Point(-102.301944444 19.303333333)
Балут (вулкан);Point(125.374444444 5.398611111)
Cerro Tolar;Point(-67.292777777 -27.359166666)
puy de Tressous;Point(2.951 45.86299)
Q27846615;Point(-97.545833333 19.221388888)
Cerro Jicalmi;Point(-102.077222222 19.3925)
Cono Truncado;Point(-69.433333333 -48.533333333)
Camiguin Volcano;Point(124.646666666 9.215277777)
Volcán Seco;Point(-98.405 19.971111111)
Cerro Volcán Overo;Point(-70.0202 -34.5734)
Mount  Spina;Point(14.163581 40.829323)
Volcán El Molcajete;Point(-104.7818 21.4766)
Volcán El Planchon;Point(-70.5717 -35.22)
Volcán El Tezontle;Point(-104.084444444 24.130555555)
Hibochiboc Volcano;Point(124.670277777 9.204166666)
Crater Jachcha Phia;Point(-68.75306 -18.60472)
Cerro de Afuera;Point(-102.28249 19.28677)
Puy de Fraisse;Point(2.96252 45.80463)
Mount Aono;Point(131.798055555 34.4625)
Volcán Negro;Point(-68.38 -27.099722222)
Crater Jiskha Phia;Point(-68.75361 -18.61528)
Volcán Santa María;Point(-69.3242 -36.3017)
Q27851271;Point(-104.5375 24.416388888)
Parker Volcano;Point(124.8897 6.1144)
Volcán Tres Picos;Point(-69.3584 -48.4362)
Puy des Gouttes;Point(2.950231 45.824078)
Cerro Volcán Grande;Point(-71.224444444 -47.031388888)
Camaldoli;Point(14.1914 40.8575)
Mount Pangasun;Point(121.9515 19.5251)
Фаградальсфьядль;Point(-22.2725 63.905)
puy de Clierzou;Point(2.959722222 45.794722222)
Cerro El Molcajete;Point(-104.410555555 21.050833333)
Cerro Volcán el Molcajete;Point(-100.484444444 19.409444444)
Volcán San Isidro;Point(-103.74956 19.62724)
Volcán Toxtepec;Point(-99.15032 19.16211)
Cerro Escalerilla;Point(-103.705555555 18.783611111)
Cerro Sapién;Point(-102.10263 19.45112)
Volacn Cohuazalo;Point(-98.91587 19.10435)
Сопка Боран;Point(132.894166666 44.121388888)
Volcán Tioca;Point(-99.09374 19.20447)
Volcán Chalchihuites;Point(-99.302777777 19.106944444)
Cerro El Colorado;Point(-102.16873 19.42476)
Volcán Tulmiac;Point(-99.116666666 19.135277777)
Cerro Pario;Point(-102.183888888 19.470277777)
Cerro Volado;Point(-97.607222222 17.403611111)
Volcán Ahuazatepel;Point(-98.91987 19.09752)
Volcán Emerenciano;Point(-99.38012 19.24718)
Cerro El Jabalí;Point(-102.11325 19.45045)
Volcán Texoxocol;Point(-99.230833333 19.152777777)
Volcán Tepetzingo;Point(-99.4419 19.0596)
Volcán Jumento;Point(-99.313611111 19.209444444)
Volcán Tlapexcua;Point(-98.90651 19.09934)
Cerro Itzhuitz;Point(-92.40866 16.48941)
Volcán Tuxtepec;Point(-99.45736 19.09894)
Volcán La Erita;Point(-103.75707 19.65145)
Volcán Moyocalco;Point(-98.93107 19.0834)
Cerro Estiladero;Point(-102.1975 19.444444444)
Volcán Malacatepetl;Point(-99.256388888 19.164444444)
Volcán Manteca;Point(-99.177777777 19.089722222)
Сопка Митькина;Point(131.255555555 43.669166666)
Volcán El Caballito;Point(-99.1825 19.089166666)
Cerro Grande;Point(-103.953888888 19.515)
Volcán Tres Cruces;Point(-99.47784 19.09476)
Cerro El Puerto;Point(-102.03624 19.47546)
Volcán Piripitillo;Point(-99.11933 19.1182)
Cerro Los Pozos;Point(-102.0225 19.772222222)
Вулкан Сноу;Point(150.864722222 46.511944444)
Cerro El Rosario;Point(-102.155833333 19.438611111)
Volcán Tuxtepec;Point(-99.10068 19.12153)
Volcán Yololica;Point(-99.1802 19.2203)
Volcán Xictle;Point(-99.221944444 19.2475)
Volcán Texontepec;Point(-99.414444444 19.243611111)
Volcán Mazcuta;Point(-101.66199 19.74753)
Volcán Tetzacoatl;Point(-99.128055555 19.138888888)
Volcán El Comalito;Point(-102.5546 19.77722)
Сопка Рыжая;Point(132.826388888 44.141111111)
Volcán Rancho Seco;Point(-101.473333333 19.617777777)
Volcán Gordo;Point(-100.127777777 18.8525)
Volcán San Isidro;Point(-101.431111111 19.519444444)
Cerro Subida El Caracol;Point(-92.59515 16.66518)
Volcán Santa de Mezapa;Point(-99.447222222 19.165555555)
Volcán Tomasquillo;Point(-99.388888888 19.169722222)
Volcán Yecahuazac;Point(-99.097777777 19.076111111)
Volcán La Comalera;Point(-99.1074 19.1092)
Volcán El Molcajete;Point(-101.36332 19.74565)
Cerro Las Varas;Point(-102.129166666 19.463888888)
Volcán El Malacate;Point(-101.36817 19.7358)
Volcán Quimixtepec;Point(-99.12615 19.06159)
Volcánes Cuates;Point(-99.443333333 19.193611111)
Volcán Cajete;Point(-99.246 19.1063)
Cerro Chino;Point(-102.105833333 19.414722222)
Volcán Tehualtepec;Point(-99.4001 19.2186)
Сопка Маяк;Point(132.975555555 44.117222222)
Volcán La Silva;Point(-99.375833333 19.180555555)
Cerro Ordáz;Point(-102.008055555 19.801666666)
Volcán Cuatzontle;Point(-99.21235 19.24089)
Volcán Xictontle;Point(-99.22742 19.24503)
Volcán Tezontle;Point(-99.2607 19.0554)
Volcán Xistune;Point(-99.006944444 19.145833333)
Volcán Teconto;Point(-99.37651 19.1966)
Cerro Antzitacuaro;Point(-102.07045 19.76083)
Cerro Tumbiscatillo;Point(-102.172777777 19.464722222)
Сопка Рядая;Point(132.8773 44.331)
Volcán El Quilotzi;Point(-99.445277777 19.217222222)
Volcanes los Otates;Point(-99.118611111 19.064444444)
Cerro Las Yerbas;Point(-102.03154 19.77112)
Cerro Mancira;Point(-103.5226 18.5331)
Volcán La Tinaja;Point(-100.1002 18.8516)
Cerro El Derrumbadero;Point(-102.008888888 19.773611111)
Volcán El Estribo;Point(-101.643611111 19.51)
Volcán Zompole;Point(-99.115555555 19.204444444)
Cerro Las Vueltas;Point(-102.186111111 19.250555555)
Volcán Atlalcorra;Point(-98.89399 19.10917)
Volcán San Miguel;Point(-99.004444444 19.1625)
Volcán Man Nal;Point(-99.2199 19.2232)
Сопка Красная;Point(132.959166666 44.150277777)
Volcán Ocusacayo;Point(-99.0691 19.1433)
Volcán Sajo;Point(-101.43138 19.74686)
Cerro El Cajete;Point(-102.04223 19.47328)
Volcán El Comal Chico;Point(-103.796111111 19.74)
Сопка Обор;Point(134.794722222 47.415555555)
Cerro La Batea;Point(-102.153333333 19.129722222)
Volcán El Jorullo;Point(-101.7169 18.972)
Cerro Catzicapacuaritiro;Point(-102.057777777 19.763055555)
Cerro Huahuarua;Point(-102.0625 19.762777777)
Volcán Cuautl;Point(-99.421388888 19.165833333)
Vulkan Taketomi;Point(155.6744 50.845)
Volcán Pajonal;Point(-99.04183 19.07822)
Сопка Обрубленная;Point(132.809722222 44.085277777)
Volcán El Molcajete;Point(-99.9465 18.92846)
Volcán El Hoyo;Point(-99.1688 19.08969)
Cerro Ciricuti;Point(-102.176944444 19.435833333)
Volcán Ocoxusco;Point(-98.90795 19.07149)
Cerro Santa María;Point(-85.317222222 10.810555555)
Mount Lolobau;Point(151.1577 -4.9146)
Q22428829;Point(-72.6126 -43.1132)
Black Butte Crater Lava Field;Point(-114.352 43.183)
Volcán Huipilo;Point(-98.8843 19.04995)
Seamount X;Point(144.02 13.25)
Volcán Jechapita;Point(-72.311111111 -15.534444444)
Volcán Auvernia;Point(-68.18 -48.4494)
Volcán Aholo;Point(-98.85452 19.09221)
Q23649179;Point(17.833333333 28.582777777)
Volcan Puntas Negras;Point(-67.5401 -23.7455)
Volcán La Cumbre;Point(-91.539444444 -0.371388888)
Los Volcanes;Point(-69.5175 -36.4285)
Kita-Bayonnaise;Point(139.85 32.1)
Etorofu-Atosanupuri;Point(147.131 44.808)
Lassen Volcanic Center;Point(-121.508 40.492)
Volcán del Aire;Point(-98.91265 19.02337)
Volcán Marhuas;Point(-72.016944444 -15.480555555)
Q22428774;Point(-68.011944444 -22.431944444)
Q22428792;Point(-71.64875 -38.31458)
Малинтанг;Point(99.67 0.47)
Batcha;Point(10.327777777 5.091666666)
Volcán Cuatepel;Point(-98.86 19.0937)
Toroeng Prong;Point(108.0 14.93)
Haut Dong Nai;Point(108.2 11.6)
Kinrara Crater;Point(144.9135 -18.4147)
Mount Uluman;Point(145.9717 -4.6528)
Ruby;Point(145.57 15.62)
South Sarigan Seamount;Point(145.78 16.58)
Volcán Challhue Mauras;Point(-72.3375 -15.372222222)
Cerro Cono Fontana;Point(-71.438055555 -45.025277777)
Q22701045;Point(-72.02808 -39.91816)
Q23659778;Point(-109.383333333 -27.083333333)
Merewether Crater;Point(-64.0082 58.0267)
Volcán Pabellón Mauras;Point(-72.461388888 -15.29)
Volcan Karibumba;Point(29.366666666 0.357222222)
Q22428732;Point(-72.0599 -40.3609)
Volcanes Los Callos;Point(-69.613888888 -36.645555555)
Q22428651;Point(-72.445555555 -42.799166666)
Volcán El Jinete;Point(-69.6032 -36.5985)
Endeavour Segment;Point(-129.1 47.95)
Mbetpit;Point(10.713055555 5.517777777)
Tlevak Strait-Suemez Is.;Point(-133.3 55.25)
Volcán del Hoyo;Point(-69.1 -36.15)
Volcán Elisabeth;Point(-69.7683 -48.31)
Volcán La Caldera;Point(-98.9706 19.3384)
Volcán Zoyazal;Point(-98.88958 19.05746)
Вулкан Блесака;Point(36.714166666 45.352777777)
Choquelimpie;Point(-69.27833333 -18.30527778)
Volcán de Cochiquito;Point(-69.834722222 -36.738333333)
Cerro Negro;Point(-67.29 -27.314166666)
Volcán Juncal;Point(-66.805 -24.7675)
Volcán Tungurahua;Point(-78.42444 -1.46667)
Batapona Mountain;Point(147.294444444 -2.543055555)
Silver Lake;Point(-121.841 40.731)
Volcán Amoloc;Point(-98.87549 19.10727)
Cerro Toloncha;Point(-67.975 -23.938333333)
Volcán Quinsachata;Point(-71.3566 -14.1626)
Bana;Point(10.329444444 5.143611111)
Middle Gobi;Point(106.7 45.28)
Pico Cónico Truncado;Point(-69.3 -48.75)
Inyo Craters;Point(-119.01666 37.6916)
Srednii;Point(152.92 47.6)
Volcán Huehuel;Point(-98.94704 19.08305)
Cerro Tralihue;Point(-70.8983 -38.5092)
Forecast Seamount;Point(143.92 13.4)
Volcán Chilcayoc Grande;Point(-72.288333333 -15.536388888)
Mount Malala;Point(150.1016 -5.0514)
Cerro Morado;Point(-67.258055555 -27.347222222)
Volcán Santo Tomás;Point(-91.1325 -0.821666666)
Cerro Negro;Point(-68.4 -25.01667)
Volcán Quizapú;Point(-70.757222222 -35.637222222)
Volcán Huehuelcon;Point(-98.93765 19.08387)
Stepovak Bay 2;Point(-160.041 55.913)
Volcán Dolo;Point(-68.733333333 -36.316666666)
Q22473823;Point(-68.466666666 -20.65)
Cerro Mirador;Point(-72.73249 -42.32746)
North Norfolk Plateau;Point(168.63333 -25.78333)
Craters of the Moon;Point(-113.5 43.42)
Volcán Misahuana Mauras;Point(-72.484722222 -15.260555555)
Maelifell;Point(-18.938 63.799)
Cerro Alumbrera;Point(-67.424166666 -26.1425)
Volcanes Chilcayoc;Point(-72.312777777 -15.523333333)
Cerros de Punguichay;Point(-72.2154 -39.4784)
Escorial de la Media Luna;Point(-69.316666666 -36.233333333)
Behm Canal-Rudyerd Bay;Point(-131.05 55.32)
Stepovak Bay 4;Point(-159.954 55.954)
Sand Mountain Field;Point(-121.93 44.38)
Volcán Reventador;Point(-77.67 -0.675555555)
Q22428754;Point(-67.682777777 -23.363055555)
Odamoisan;Point(147.918 45.028)
Volcán del Manantial;Point(-67.9967 -26.7167)
Volcán Jenchaña;Point(-72.3475 -15.52)
Cerro Alto del Volcán;Point(-67.2853 -27.396)
Pichincha Volcano;Point(-78.61263 -0.17082)
Stepovak Bay 3;Point(-160.002 55.929)
Volcán Yana Mauras;Point(-72.433333333 -15.318333333)
El Viejo Volcano;Point(-84.328888888 10.26)
Tana;Point(-169.77 52.83)
Боравли (вулканический купол);Point(41.45 11.633333333)
Сопка Лысая;Point(134.359166666 46.857777777)
Больше-Банная;Point(157.766666666 52.9)
Sopka Bol'shaya;Point(133.909444444 46.563055555)
Сопка Васильева;Point(134.288333333 46.899444444)
Тенорио;Point(-85.015 10.672777777)
Fueguino;Point(-70.25 -54.95)
Окинское плато;Point(98.983333333 52.7)
Grand Sarcoui;Point(2.9822 45.8145)
Куикоча;Point(-78.361666666 0.302222222)
Михара;Point(139.3988 34.7276)
Sopka Karasukskaya;Point(85.661666666 52.294722222)
Сопка Каменистая Грива;Point(134.26 46.985)
Tahual;Point(-89.9 14.43)
Puntiagudo-Cordón Cenizos;Point(-72.263888888 -40.969444444)
Гарелой;Point(-178.803055555 51.786666666)
Пико-Вьехо;Point(-16.664722222 28.263888888)
Вулкан Ново-Бакенинг;Point(158.098055555 53.943888888)
Сопка Видная;Point(134.353055555 46.899166666)
Le Grand Suchet;Point(2.95528 45.7906)
Сопка Большая Грива;Point(134.213888888 46.928611111)
Гедамса;Point(39.183333333 8.35)
Прево;Point(152.115 47.011111111)
Tinguiririca Volcano;Point(-70.351944444 -34.813611111)
Большой Чекчебонай;Point(159.433333333 56.9)
Бразерз;Point(179.075277777 -34.874722222)
Пулар (вулкан);Point(-68.0665 -24.2005)
Тендюрек;Point(43.8743324 39.3555574)
Тоба;Point(98.883333333 2.566666666)
Вулкан Келля;Point(157.35 51.65)
Сопка Маячная;Point(134.315277777 45.891111111)
Михара;Point(139.394722222 34.724444444)
Бонгабти;Point(158.333333333 55.833333333)
Cerro Macá;Point(-73.169166666 -45.105833333)
Сопка Маячная;Point(134.410277777 46.693611111)
Sopka Kamenistaya;Point(133.82656 46.17554)
Sopka Khutorskaya;Point(85.730833333 52.26)
Сопка Вострушна;Point(134.164166666 46.841388888)
Mount Sukaria;Point(121.77 -8.792)
Горящая Сопка;Point(151.751388888 46.831666666)
Helgafell;Point(-20.2601 63.4293)
Sopka Yerëmina;Point(133.893055555 46.186666666)
Гедамса;Point(39.18034 8.35554)
Сопка Маячная;Point(134.421111111 46.901111111)
Linzor;Point(-67.966666666 -22.15)
Sopka Talitskaya;Point(85.676388888 52.291388888)
Сопка Козья;Point(134.340277777 46.698055555)
Hveravellir;Point(-19.556676 64.865296)
Fort Portal;Point(30.25 0.7)
Сопка Заикина;Point(134.348055555 46.985555555)
Linzor;Point(-67.96667 -22.15)
Большой (вулкан);Point(157.8 56.466666666)
Куикоча;Point(-78.362777777 0.300555555)
Сопка Острая;Point(133.996944444 46.418333333)
Сопка Граничная;Point(134.449166666 46.748611111)
Львиная Пасть;Point(147.0 44.61667)
Львиная Пасть;Point(146.993888888 44.608333333)
Sopka Koftuna;Point(134.033055555 45.848055555)
Сопка Каменистая;Point(134.386111111 46.8325)
Сопка Дом;Point(134.480833333 46.890833333)
Вулкан Шмидта;Point(160.63 54.92)
Бонгапчи;Point(158.333333333 55.833333333)
Сопка Угловая;Point(134.391388888 46.7275)
Сопка Малогуминская;Point(134.377777777 46.789444444)
Иэттунуп;Point(161.066666666 58.4)
Сопка Востряки;Point(134.174166666 46.881944444)
Сопка Албан;Point(134.160833333 46.678333333)
Vulkan Il'inskiy;Point(157.2039 51.4991)
Сопка Скалистая;Point(158.168888888 52.541666666)
Mono Lake Volcanic Field;Point(-119.03 38.0)
Sopka Ded;Point(156.583333333 51.316666666)
Sopka Kinchoklok;Point(159.7825 55.3658)
Сопка Пасечная;Point(134.073333333 46.728055555)
Hydrographers Range;Point(148.33521 -8.96006)
Сопка Фигурная;Point(131.6424 43.4478)
Rumble II West;Point(178.527 -35.353)
Vulkan Trezubets;Point(150.103333333 46.066666666)
Сопка Пиратковский Пик;Point(157.850277777 52.111111111)
Tavui;Point(152.2 -4.12)
Sopka Dvugorbaya;Point(158.1455 52.5154)
Vulkan Chernogo;Point(150.866666666 46.522222222)
Vulkan Chirinkotan;Point(153.479722222 48.980555555)
Сопка Меркурьевская;Point(131.8569 43.6235)
Managlase Plateau;Point(148.33 -9.08)
Вулкан Экарма;Point(153.941388888 48.9475)
Doma Peaks;Point(143.15 -5.9)
Hydrographers Range;Point(148.61666667 -9.0)
Vulkan Anaun;Point(158.48 56.5275)
Sopka Barkhatnaya;Point(158.216111111 52.824444444)
Сопка Высокая;Point(134.103333333 46.670833333)
Gallego;Point(159.73 -9.35)
Сопка Острая;Point(158.198611111 53.119722222)
Vulkan Konradi;Point(160.553611111 55.0925)
Sopka Aligey;Point(160.533333333 57.966666666)
Yomba;Point(146.717 -4.883)
Сопка Междуречье;Point(158.123333333 52.631944444)
Vulkan Ichinskaya Sopka;Point(157.718 55.6786)
Sopka Baydara;Point(161.5883 59.305)
Соляная Сопка;Point(111.5 74.0)
Sopka Dlinnaya;Point(158.229166666 52.561944444)
Vulkan Dzenzurskiy;Point(158.74 53.6392)
Vulkan Alaid;Point(155.555277777 50.859444444)
NW Eifuku;Point(144.043 21.485)
Вулкан Средний;Point(160.577777777 56.110833333)
Sopka Krasnaya;Point(160.025 57.144166666)
Sopka Asacha;Point(157.8295 52.3555)
Vulkan Uzon;Point(159.915555555 54.511666666)
Samsari Volcanic Center;Point(43.7 41.542)
Вулкан Малая Удина;Point(160.618055555 55.743888888)
Вулкан Мутновская Сопка;Point(158.1977 52.4484)
Вулкан Масса;Point(161.2292 59.0883)
Sopka Goryachaya;Point(158.151666666 52.810555555)
Sopka Kamennaya;Point(158.19 52.596944444)
Сопка Шапка;Point(131.721388888 43.431111111)
Сопка Кяменистая;Point(131.718888888 43.379722222)
Sopka Zhirovaya;Point(158.238611111 52.613888888)
Vulkan Kambal'naya Sopka;Point(156.875833333 51.303888888)
West Eifel Volcanic Field;Point(6.85 50.17)
Sessagara;Point(149.13 -9.48)
Сопка Голая;Point(131.759722222 43.474444444)
Vulkan Tolbachikskiy;Point(160.391944444 55.8225)
Вулкан Жупановская Сопка;Point(159.111666666 53.590277777)
Сопка Харьковка;Point(131.6799 43.4836)
Сопка Паратунка;Point(158.039722222 52.6575)
Сопка Саровские Дачи;Point(134.3539 46.0925)
Vulkan Tsentral'nyy Semlyachik;Point(159.926666666 54.293333333)
Сопка Большой Солнцепек;Point(134.378333333 46.952222222)
Madilogo;Point(147.57 -9.2)
Traitor's Head;Point(169.238 -18.754)
Vulkan Buryashchiy;Point(159.974722222 54.327777777)
Сопка Клепочная;Point(131.871111111 43.562222222)
Vulkan Komarova;Point(160.725277777 55.033611111)
Сопка Шагаевская;Point(162.5851 57.5449)
Vulkan Bol'shoy Semlyachik;Point(160.024166666 54.315555555)
Sopka Dondur;Point(108.3683 52.4108)
Vulkan Kronotskaya Sopka;Point(160.53201 54.75262)
Witori;Point(150.516 -5.576)
Vulkan Zheltovskaya Sopka;Point(157.3281 51.5771)
Vulkan Unana;Point(159.7175 54.642777777)
Вулкан Попутный;Point(160.0783 55.0775)
Vulkan Kamen';Point(160.594722222 56.019444444)
Suretamatai;Point(167.47 -13.8)
Гора Начикинская;Point(162.6928 57.8405)
Lolo;Point(150.509 -5.466)
Гора Шишель;Point(160.376 57.4397)
North Vate;Point(168.353 -17.47)
Vulkan Zavaritskogo;Point(151.9917 46.904)
Sopka Khodutka;Point(157.710277777 52.062222222)
Vulcan Neozhidannyy;Point(156.027777777 50.679166666)
Vulkan Chikurachki;Point(155.458611111 50.3225)
"Rahah; Harrat ar";Point(36.17 27.8)
Вулкан Плоский;Point(160.47049 56.06943)
Yelia;Point(145.858 -7.05)
Sopka Krasnaya;Point(158.05 52.611666666)
Сопка Углевая;Point(134.108888888 46.702777777)
Nonda;Point(156.6 -7.67)
Dugong;Point(-175.725 -15.431)
"Uwayrid; Harrat";Point(37.25 27.08)
Vulkan Dvor;Point(159.434444444 54.085277777)
Vulcan Tatarinova;Point(155.455 50.305555555)
"Marha; Jabal el-";Point(44.236 15.245)
Vulkan Ketoy;Point(152.4388 47.3415)
Niuatahi;Point(-174.003 -15.379)
Сопка Каменная;Point(134.442777777 46.951111111)
Вулкан Райкоке;Point(153.2481 48.2915)
Sopka Aynel'kan;Point(160.387222222 57.493611111)
